Rank 159 | Hero: Gunnthrá | Vote count: 968 | Series: Heroes 
Rank 160 | Hero: Pelleas | Vote count: 965 | Series: Radiant Dawn 
Rank 161 | Hero: Freyr | Vote count: 963 | Series: Heroes 
Rank 162 | Hero: Sanaki | Vote count: 961 | Series: Radiant Dawn, Path of Radiance 
Rank 163 | Hero: Say'ri | Vote count: 957 | Series: Awakening 
Rank 164 | Hero: Cherche | Vote count: 946 | Series: Awakening 
Rank 165 | Hero: Kagero | Vote count: 939 | Series: Fates 
Rank 166 | Hero: Jeritza | Vote count: 935 | Series: Three Houses (Academy Arc) 
Rank 166 | Hero: Hríd | Vote count: 935 | Series: Heroes 
Rank 167 | Hero: Lewyn | Vote count: 929 | Series: Genealogy of the Holy War 
Rank 168 | Hero: Ayaha & Aversa | Vote count: 922 | Series: Tokyo Mirage Sessions ♯FE Encore 
Rank 169 | Hero: Lissa | Vote count: 916 | Series: Awakening 
Rank 170 | Hero: Linde | Vote count: 897 | Series: Mystery of the Emblem / New Mystery of the Emblem, Shadow Dragon and the Blade of Light / Shadow Dragon 
Rank 171 | Hero: Larcei | Vote count: 896 | Series: Genealogy of the Holy War 
Rank 172 | Hero: Seth | Vote count: 883 | Series: The Sacred Stones 
Rank 173 | Hero: Anna | Vote count: 880 | Series: Fates 
Rank 174 | Hero: Arvis | Vote count: 879 | Series: Genealogy of the Holy War 
Rank 175 | Hero: Stefan | Vote count: 871 | Series: Path of Radiance, Radiant Dawn 
Rank 176 | Hero: Inigo | Vote count: 867 | Series: Awakening 
Rank 177 | Hero: Fir | Vote count: 865 | Series: The Binding Blade 
Rank 178 | Hero: Amelia | Vote count: 862 | Series: The Sacred Stones 
Rank 179 | Hero: Peony | Vote count: 855 | Series: Heroes 
Rank 180 | Hero: Sophia | Vote count: 847 | Series: The Binding Blade 
Rank 181 | Hero: Dheginsea | Vote count: 840 | Series: Path of Radiance, Radiant Dawn 
Rank 182 | Hero: Barry | Vote count: 836 | Series: Tokyo Mirage Sessions ♯FE Encore 
Rank 182 | Hero: Wrys | Vote count: 836 | Series: Mystery of the Emblem / New Mystery of the Emblem, Shadow Dragon and the Blade of Light / Shadow Dragon 
Rank 183 | Hero: Priam | Vote count: 835 | Series: Awakening 
Rank 184 | Hero: Tine | Vote count: 825 | Series: Genealogy of the Holy War 
Rank 185 | Hero: Donnel | Vote count: 824 | Series: Awakening 
Rank 186 | Hero: Edward | Vote count: 818 | Series: Radiant Dawn 
Rank 187 | Hero: Kliff | Vote count: 811 | Series: Gaiden / Echoes: Shadows of Valentia 
Rank 188 | Hero: Limstella | Vote count: 803 | Series: The Blazing Blade 
Rank 189 | Hero: Rodrigue | Vote count: 796 | Series: Three Houses (Academy Arc) 
Rank 190 | Hero: Guy | Vote count: 793 | Series: The Blazing Blade 
Rank 191 | Hero: Nyna | Vote count: 792 | Series: Shadow Dragon and the Blade of Light / Shadow Dragon, Mystery of the Emblem / New Mystery of the Emblem 
Rank 192 | Hero: Palla | Vote count: 789 | Series: Shadow Dragon and the Blade of Light / Shadow Dragon, Gaiden / Echoes: Shadows of Valentia, Mystery of the Emblem / New Mystery of the Emblem 
Rank 193 | Hero: Orochi | Vote count: 788 | Series: Fates 
Rank 194 | Hero: Ced | Vote count: 783 | Series: Thracia 776, Genealogy of the Holy War 
Rank 195 | Hero: Anankos | Vote count: 781 | Series: Fates 
Rank 196 | Hero: Keaton | Vote count: 778 | Series: Fates 
Rank 197 | Hero: Lachesis | Vote count: 774 | Series: Genealogy of the Holy War 
Rank 198 | Hero: Azelle | Vote count: 771 | Series: Genealogy of the Holy War 
Rank 198 | Hero: Sonia | Vote count: 771 | Series: The Blazing Blade 
Rank 199 | Hero: Haar | Vote count: 765 | Series: Radiant Dawn, Path of Radiance 
Rank 200 | Hero: Flame Emperor | Vote count: 759 | Series: Three Houses (Academy Arc) 
Rank 201 | Hero: Patty | Vote count: 757 | Series: Genealogy of the Holy War 
Rank 202 | Hero: Gaius | Vote count: 749 | Series: Awakening 
Rank 202 | Hero: Miriel | Vote count: 749 | Series: Awakening 
Rank 203 | Hero: Lex | Vote count: 738 | Series: Genealogy of the Holy War 
Rank 204 | Hero: Astrid | Vote count: 735 | Series: Path of Radiance, Radiant Dawn 
Rank 205 | Hero: Lukas | Vote count: 732 | Series: Gaiden / Echoes: Shadows of Valentia 
Rank 206 | Hero: Lucius | Vote count: 719 | Series: The Blazing Blade 
Rank 207 | Hero: Titania | Vote count: 718 | Series: Radiant Dawn, Path of Radiance 
Rank 208 | Hero: Zihark | Vote count: 717 | Series: Radiant Dawn, Path of Radiance 
Rank 209 | Hero: Kurthnaga | Vote count: 715 | Series: Path of Radiance, Radiant Dawn 
Rank 210 | Hero: L'Arachel | Vote count: 714 | Series: The Sacred Stones 
Rank 211 | Hero: Velouria | Vote count: 706 | Series: Fates 
Rank 212 | Hero: Merric | Vote count: 702 | Series: Mystery of the Emblem / New Mystery of the Emblem, Shadow Dragon and the Blade of Light / Shadow Dragon 
Rank 213 | Hero: Peri | Vote count: 697 | Series: Fates 
Rank 213 | Hero: Beruka | Vote count: 697 | Series: Fates 
Rank 214 | Hero: Scarlet | Vote count: 696 | Series: Fates 
Rank 214 | Hero: Colm | Vote count: 696 | Series: The Sacred Stones 
Rank 215 | Hero: Effie | Vote count: 694 | Series: Fates 
Rank 215 | Hero: Mozu | Vote count: 694 | Series: Fates 
Rank 216 | Hero: Gilliam | Vote count: 693 | Series: The Sacred Stones 
Rank 217 | Hero: Kris (female) | Vote count: 688 | Series: Mystery of the Emblem / New Mystery of the Emblem 
Rank 218 | Hero: Volug | Vote count: 684 | Series: Radiant Dawn 
Rank 218 | Hero: Kronya | Vote count: 684 | Series: Three Houses (Academy Arc) 
Rank 219 | Hero: Arthur | Vote count: 682 | Series: Genealogy of the Holy War 
Rank 220 | Hero: Sonya | Vote count: 676 | Series: Gaiden / Echoes: Shadows of Valentia 
Rank 221 | Hero: Greil | Vote count: 674 | Series: Path of Radiance 
Rank 222 | Hero: Cyril | Vote count: 673 | Series: Three Houses (Academy Arc), Three Houses (War Arc) 
Rank 223 | Hero: Rinea | Vote count: 660 | Series: Gaiden / Echoes: Shadows of Valentia 
Rank 223 | Hero: Brigand Boss | Vote count: 660 | Series: Gaiden / Echoes: Shadows of Valentia 
Rank 224 | Hero: Elice | Vote count: 659 | Series: Shadow Dragon and the Blade of Light / Shadow Dragon, Mystery of the Emblem / New Mystery of the Emblem 
Rank 225 | Hero: Anna | Vote count: 650 | Series: Shadow Dragon and the Blade of Light / Shadow Dragon, Mystery of the Emblem / New Mystery of the Emblem 
Rank 226 | Hero: Hana | Vote count: 646 | Series: Fates 
Rank 227 | Hero: Gangrel | Vote count: 634 | Series: Awakening 
Rank 228 | Hero: Jaffar | Vote count: 627 | Series: The Blazing Blade 
Rank 228 | Hero: Mareeta | Vote count: 627 | Series: Thracia 776 
Rank 229 | Hero: Deirdre | Vote count: 624 | Series: Genealogy of the Holy War 
Rank 230 | Hero: Julian | Vote count: 622 | Series: Shadow Dragon and the Blade of Light / Shadow Dragon, Mystery of the Emblem / New Mystery of the Emblem 
Rank 231 | Hero: Heath | Vote count: 621 | Series: The Blazing Blade 
Rank 232 | Hero: Aversa | Vote count: 618 | Series: Awakening 
Rank 232 | Hero: Tormod | Vote count: 618 | Series: Radiant Dawn, Path of Radiance 
Rank 233 | Hero: Wolf | Vote count: 610 | Series: Shadow Dragon and the Blade of Light / Shadow Dragon, Mystery of the Emblem / New Mystery of the Emblem 
Rank 233 | Hero: Midori | Vote count: 610 | Series: Fates 
Rank 234 | Hero: Artur | Vote count: 603 | Series: The Sacred Stones 
Rank 235 | Hero: Wolt | Vote count: 600 | Series: The Binding Blade 
Rank 236 | Hero: Jakob | Vote count: 595 | Series: Fates 
Rank 237 | Hero: Vika | Vote count: 593 | Series: Radiant Dawn 
Rank 238 | Hero: Vanessa | Vote count: 589 | Series: The Sacred Stones 
Rank 239 | Hero: Kaze | Vote count: 588 | Series: Fates 
Rank 240 | Hero: Jeorge | Vote count: 586 | Series: Mystery of the Emblem / New Mystery of the Emblem, Shadow Dragon and the Blade of Light / Shadow Dragon 
Rank 241 | Hero: Lethe | Vote count: 584 | Series: Radiant Dawn, Path of Radiance 
Rank 242 | Hero: Naesala | Vote count: 581 | Series: Radiant Dawn, Path of Radiance 
Rank 243 | Hero: Pent | Vote count: 579 | Series: The Blazing Blade 
Rank 244 | Hero: Raven | Vote count: 572 | Series: The Blazing Blade 
Rank 245 | Hero: Marcia | Vote count: 571 | Series: Radiant Dawn, Path of Radiance 
Rank 246 | Hero: Ashera | Vote count: 568 | Series: Radiant Dawn 
Rank 246 | Hero: Sara | Vote count: 568 | Series: Thracia 776 
Rank 246 | Hero: Flavia | Vote count: 568 | Series: Awakening 
Rank 247 | Hero: Lloyd | Vote count: 567 | Series: The Blazing Blade 
Rank 248 | Hero: Alois | Vote count: 564 | Series: Three Houses (Academy Arc) 
Rank 249 | Hero: Genny | Vote count: 560 | Series: Gaiden / Echoes: Shadows of Valentia 
Rank 249 | Hero: Flora | Vote count: 560 | Series: Fates 
